"Player","Team","Pos","Pos2","Opp","Tipoff","Salary","Projection","SE","DvP","DvP2","FantasyPros","FantasyFuel","numberFire","RotoGrinders","Rotowire","SportsLine","SwishAnalytics","Label","Deviation","Floor","Ceil","OU","Line","Spread","Situation"
"Tim Frazier","NOR","PG","","MEM","Tue 8:00PM",4000,17.47,3.26,50.8,NA,14,NA,13.5,20.05,19.4,16.625,21.26,"T. Frazier",6.82,13.23,26.87,208.5,-135,-2,""
"E'Twaun Moore","NOR","SG","SF","MEM","Tue 8:00PM",3900,17.47,1.51,44.3,41.4,17.8,NA,18.6,19.22,17.3,14.875,17.03,"E. Moore",5.96,13.26,25.18,208.5,-135,-2,""
"David Lee","SAS","PF","C","@MIN","Tue 9:30PM",4800,17.36,2.22,46.5,49.7,17.9,NA,17.9,20.17,18.8,14.875,14.54,"D. Lee",8.47,11.7,28.64,205.5,-210,-5,"3in4"
"Larry Nance","LAL","SF","PF","LAC","Tue 10:30PM",4000,17.36,0.95,45.1,44.1,17.9,NA,18.1,15.83,16.9,18.375,17.04,"L. Nance",6.17,9.66,22,219.5,365,9,""
"Isaiah Whitehead","BKN","PG","","DET","Tue 7:30PM",3600,17.35,2.32,52.2,NA,13.3,NA,16.1,17.85,19.6,18.225,19.02,"I. Whitehead",5.36,12.49,23.2,214,195,5.5,""
"P.J. Tucker","TOR","SF","PF","CHI","Tue 7:00PM",3700,17.21,1.65,44.2,45.9,19.8,NA,18.5,16.82,15.7,16.875,15.55,"P. Tucker",6.06,10.76,22.88,200,-275,-6.5,""
"Bobby Portis","CHI","PF","","@TOR","Tue 7:00PM",3900,17.03,4.53,47.9,NA,9.8,NA,13.8,17.52,22,18.4,20.64,"B. Portis",5.78,11.74,23.3,200,230,6.5,""
"Tony Parker","SAS","PG","","@MIN","Tue 9:30PM",4200,16.95,8.42,50.7,NA,21.3,NA,0,20.07,19.6,22.375,18.36,"T. Parker",7.23,12.84,27.3,205.5,-210,-5,"3in4"
"Tony Snell","MIL","SG","SF","@POR","Tue 10:00PM",3900,16.72,0.76,42.4,43.6,16.2,NA,16.9,17.18,17.6,16.95,15.49,"T. Snell",5.33,11.85,22.51,212,170,5,""
"Marreese Speights","LAC","PF","C","@LAL","Tue 10:30PM",4000,16.71,2.41,52,55,18.8,NA,15.5,17.78,18.4,NA,13.05,"M. Speights",5.51,12.27,23.29,219.5,-435,-9,"3in4-B2B"
"Michael Carter-Williams","CHI","PG","","@TOR","Tue 7:00PM",3800,16.61,2.22,50.1,NA,13.6,NA,17.9,17.43,17.9,18.8,14.01,"M. Carter-Williams",8.54,8.89,25.97,200,230,6.5,""
"Denzel Valentine","CHI","SG","SF","@TOR","Tue 7:00PM",4500,16.18,6.38,40,42.8,7.9,NA,10,19.61,25.3,17.075,17.22,"D. Valentine",7.45,12.16,27.06,200,230,6.5,""
"Dewayne Dedmon","SAS","C","","@MIN","Tue 9:30PM",3500,15.94,1.32,49.7,NA,16,NA,15.4,17.99,15,14.375,16.89,"D. Dedmon",6.12,11.87,24.11,205.5,-210,-5,"3in4"
"Terrence Jones","MIL",NA,NA,"@POR","Tue 10:00PM",3000,15.94,9.55,NA,NA,19.5,NA,23.2,NA,NA,NA,5.12,"T. Jones",NA,NA,NA,NA,NA,NA,""
"John Henson","MIL","C","","@POR","Tue 10:00PM",3000,15.92,3.32,50.2,NA,15.8,NA,18.2,17.57,12.8,19.9,11.27,"J. Henson",6.85,10.72,24.42,212,170,5,""
"Shabazz Muhammad","MIN","SG","SF","SAS","Tue 9:30PM",4500,15.74,2.86,44.8,37.2,11.4,NA,15.3,19.2,17.3,13.675,17.56,"S. Muhammad",6.72,12.48,25.92,205.5,180,5,""
"Manu Ginobili","SAS","SG","","@MIN","Tue 9:30PM",3700,15.68,2.86,42.3,NA,17.6,NA,15.1,18.61,15.9,NA,11.21,"M. Ginobili",6.14,12.47,24.75,205.5,-210,-5,"3in4"
"Nick Young","LAL","SG","","LAC","Tue 10:30PM",3700,15.55,5.39,41.9,NA,19.8,NA,20.6,12.84,NA,16.925,7.58,"N. Young",5.26,7.58,18.1,219.5,365,9,""
"Randy Foye","BKN","SG","","DET","Tue 7:30PM",3000,15.22,2.42,40.5,NA,11.5,NA,13.3,16.74,17.4,15,17.37,"R. Foye",6.03,10.71,22.77,214,195,5.5,""
"Raymond Felton","LAC","PG","SF","@LAL","Tue 10:30PM",3400,15.15,2.23,55.7,46.2,17.2,NA,17.3,14.82,15.8,11.25,14.52,"R. Felton",4.59,10.23,19.41,219.5,-435,-9,"3in4-B2B"
