"Player","Pos","Team","Opp","Hand","Order","Salary","Projection","SE","DvP","DFC","FanGraphs","FantasyPros","numberFire","RotoGrinders","Rotowire","DvPRank","Line","Spread","OU","ParkFactor","Label","Actual","Value","actValue"
"Tyler Saladino","SS","CHW","DET","R",1,2700,8.57,1.97,0,9.64,9.05,10,8.8,4.64,9.28,0,114,0.32,7,0.98,"T. Saladino",NA,3.17407407407407,NA
"Jorge Polanco","SS","MIN","KCR","S",7,2200,8.52,0.96,0,10.03,7.5,8.4,8.8,7.5,8.91,0,-105,-0.0999999999999996,8,0.99,"J. Polanco",15.7,3.87272727272727,7.13636363636364
"Joe Mauer","1B","MIN","KCR","L",4,2800,8.5,1.41,0,11.14,8.22,8.6,8.4,7.16,7.46,0,-105,-0.0999999999999996,8,0.99,"J. Mauer",9.7,3.03571428571429,3.46428571428571
"J.T. Realmuto","C","MIA","@WAS","R",2,2100,8.49,1.89,0,10.17,8.95,NA,9.4,5.26,8.67,0,183,1.46,8,1,"J. Realmuto",12.2,4.04285714285714,5.80952380952381
"Max Kepler","OF","MIN","KCR","L",8,2400,8.47,1.56,0,11.08,7.6,8.1,9.1,6.46,8.48,0,-105,-0.0999999999999996,8,0.99,"M. Kepler",6.2,3.52916666666667,2.58333333333333
"Jarrod Dyson","OF","SEA","@HOU","L",9,2700,8.41,1.44,0,10.52,8.52,6.9,8.7,6.68,9.14,0,134,0.76,8.5,1,"J. Dyson",0,3.11481481481481,0
"Josh Bell","1B","PIT","@BOS","S",7,2500,8.4,1.1,0,9.27,9.51,NA,8,6.77,8.47,0,141,0.879999999999999,8.5,0.95,"J. Bell",6,3.36,2.4
"Mike Zunino","C","SEA","@HOU","R",8,2500,8.38,1.64,0,10.36,7.96,9.3,8.7,5.47,8.5,0,134,0.76,8.5,1,"M. Zunino",0,3.352,0
"Josh Harrison","2B","PIT","@BOS","R",8,2600,8.33,1.3,0,9.95,9.15,NA,7.6,6.61,8.35,0,141,0.879999999999999,8.5,0.95,"J. Harrison",9.7,3.20384615384615,3.73076923076923
"Elvis Andrus","SS","TEX","CLE","R",8,2600,8.32,1.44,0,10.54,8.05,8.1,8.2,6.09,8.93,0,105,0.18,7.5,0.94,"E. Andrus",15,3.2,5.76923076923077
"Welington Castillo","C","BAL","TOR","R",6,2700,8.31,1.47,0,10.83,8.66,6.5,7.9,7.4,8.6,0,-133,-0.56,8.5,0.97,"W. Castillo",9,3.07777777777778,3.33333333333333
"Marcell Ozuna","OF","MIA","@WAS","R",6,2800,8.25,0.96,0,9.16,8.64,NA,8.6,6.65,8.22,0,183,1.46,8,1,"M. Ozuna",6.5,2.94642857142857,2.32142857142857
"David Freese","3B","PIT","@BOS","R",5,2400,8.22,1.13,0,8.66,9.21,NA,8.6,6.27,8.34,0,141,0.879999999999999,8.5,0.95,"D. Freese",9.2,3.425,3.83333333333333
"Danny Espinosa","2B","LAA","@OAK","S",6,2600,8.2,0.81,0,9.06,8.27,8.8,8.2,6.72,8.15,0,-111,-0.119999999999999,8,1.03,"D. Espinosa",0,3.15384615384615,0
"Sandy Leon","C","BOS","PIT","S",9,2100,8.19,1.06,0,9.6,8.17,NA,8.8,7.47,6.92,0,-151,-0.880000000000001,8.5,0.95,"S. Leon",9.2,3.9,4.38095238095238
"C.J. Cron","1B","LAA","@OAK","R",5,2600,8.17,4.32,0,12.95,9.68,0.3,8.3,7.26,10.52,0,-111,-0.119999999999999,8,1.03,"C. Cron",6,3.14230769230769,2.30769230769231
"Hyun-Soo Kim","OF","BAL","TOR","L",7,2600,8.16,1.01,0,9.91,8.85,7.3,7.6,7.83,7.49,0,-133,-0.56,8.5,0.97,"H. Kim",0,3.13846153846154,0
"Norichika Aoki","OF","HOU","SEA","L",9,2700,8.09,1.29,0,9.98,8.61,8,7.9,5.98,8.05,0,-144,-0.76,8.5,1,"N. Aoki",3,2.9962962962963,1.11111111111111
"Pablo Sandoval","3B","BOS","PIT","S",8,2500,8.03,0.91,0,NA,9.33,NA,7.2,7.88,7.72,0,-151,-0.880000000000001,8.5,NA,"P. Sandoval",9.7,3.212,3.88
"Nick Markakis","OF","ATL","@NYM","L",5,2700,8.03,1.85,0,10.62,7.48,NA,9,5.75,7.28,0,166,1.06,7,1.06,"N. Markakis",0,2.97407407407407,0
