"Player","Pos","Team","Opp","Hand","Order","Salary","Projection","SE","DvP","DFC","FanGraphs","FantasyPros","lineupLab","numberFire","RotoGrinders","Rotowire","SwishAnalytics","DvPRank","Line","Spread","OU","ParkFactor","Label"
"Carlos Torres",NA,NA,NA,NA,NA,NA,1.9,0,NA,NA,NA,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Steven Moya",NA,NA,NA,NA,NA,NA,1.9,0,NA,NA,NA,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tuffy Gosewisch",NA,NA,NA,NA,NA,NA,1.88,2.38,NA,3.57,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"Jason Kipnis",NA,NA,NA,NA,NA,NA,1.87,2.64,NA,NA,NA,0,NA,NA,NA,3.74,NA,NA,NA,NA,NA,NA,NA
"Michael Martinez",NA,NA,NA,NA,NA,NA,1.84,2.6,NA,3.68,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.94,NA
"David Dahl",NA,NA,NA,NA,NA,NA,1.84,2.6,NA,NA,NA,0,NA,NA,NA,3.68,NA,NA,NA,NA,NA,NA,NA
"Austin Barnes",NA,NA,NA,NA,NA,NA,1.81,1.53,NA,3.25,NA,0.2,NA,NA,NA,1.99,NA,NA,NA,NA,NA,1.04,NA
"Stephen Cardullo",NA,NA,NA,NA,NA,NA,1.8,2.55,NA,3.61,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.96,NA
"Ross Stripling",NA,NA,NA,NA,NA,NA,1.8,0,NA,NA,NA,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Greg Holland",NA,NA,NA,NA,NA,NA,1.8,0,NA,NA,NA,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alex Wilson",NA,NA,NA,NA,NA,NA,1.8,0,NA,NA,NA,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chris Devenski",NA,NA,NA,NA,NA,NA,1.8,0,NA,NA,NA,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hunter Strickland",NA,NA,NA,NA,NA,NA,1.8,0,NA,NA,NA,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Michael Feliz",NA,NA,NA,NA,NA,NA,1.8,0,NA,NA,NA,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Taylor Jungmann",NA,NA,NA,NA,NA,NA,1.7,0,NA,NA,NA,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austin Pruitt",NA,NA,NA,NA,NA,NA,1.7,0,NA,NA,NA,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sean Doolittle",NA,NA,NA,NA,NA,NA,1.7,0,NA,NA,NA,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
