"Player","Pos","Pos2","Team","Opp","Hand","Order","Salary","Projection","SE","DvP","DvP2","DFC","FanGraphs","FantasyPros","lineupLab","numberFire","RotoGrinders","Rotowire","SwishAnalytics","DvPRank","Line","Spread","OU","ParkFactor","Label"
"Eduardo Nunez","3B","SS","SFG","@SDP","R",6,3600,7.79,1,0,NA,9.52,7.53,8.3,NA,6.7,6.95,8.4,7.14,0,-155,-0.84,7.5,1.05,"E. Nunez"
"Devon Travis","2B","","TOR","@TBR","R",1,3400,7.79,1.22,0,NA,8.85,6.96,8.8,NA,9,5.68,7.78,7.43,0,-121,-0.300000000000001,8,1.04,"D. Travis"
"Adam Jones","OF","","BAL","NYY","R",2,4200,7.76,0.85,0,NA,9.09,7.75,6.7,NA,6.8,8.12,8.35,7.53,0,-119,-0.279999999999999,8.5,0.97,"A. Jones"
"Kevin Kiermaier","OF","","TBR","TOR","L",2,3200,7.76,1.25,0,NA,10.18,7.66,8.1,NA,7.7,6.01,7.42,7.23,0,111,0.3,8,1.04,"K. Kiermaier"
"Andrew McCutchen","OF","","PIT","ATL","R",3,4100,7.74,0.97,0,NA,10,7.78,7,7.79,7.3,6.96,7.63,7.49,0,-135,-0.56,8,1.04,"A. McCutchen"
"Lorenzo Cain","OF","","KCR","@HOU","R",3,3600,7.74,0.91,0,NA,8.76,7.16,8.2,NA,8.5,6.75,8.28,6.52,0,178,1.48,8.5,1,"L. Cain"
"Kevin Kiermaier","OF","","TBR","TOR","L",2,3200,7.74,1.26,0,NA,10.18,7.66,8.1,NA,7.7,6.01,7.42,7.12,0,111,0.3,8,1.04,"K. Kiermaier"
"Giancarlo Stanton","OF","","MIA","@NYM","R",4,3800,7.72,1.03,0,NA,9.45,7.56,7.4,NA,7.8,6.48,8.59,6.77,0,156,0.92,7,1.06,"G. Stanton"
"Eric Thames","1B","OF","MIL","CHC","L",2,3500,7.71,1.39,0,NA,7.48,8.06,8.5,NA,6.2,5.65,9.66,8.43,0,165,1.2,8,0.96,"E. Thames"
"Asdrubal Cabrera","SS","","NYM","MIA","S",2,3400,7.7,0.94,0,NA,9.3,7.02,8.4,NA,6.8,6.78,8.06,7.51,0,-166,-0.92,7,1.06,"A. Cabrera"
"Ender Inciarte","OF","","ATL","@PIT","L",1,3500,7.7,1.02,0,NA,9.09,7.25,8.7,NA,7.7,5.97,7.45,7.75,0,125,0.559999999999999,8,1.04,"E. Inciarte"
"Mark Reynolds","1B","3B","COL","LAD","R",7,4400,7.69,0.65,0,NA,8.62,7.53,8.4,NA,6.7,7.42,7.39,7.77,0,116,0.5,10,0.83,"M. Reynolds"
"David Peralta","OF","","ARI","CLE","L",2,3300,7.68,0.83,0,NA,8.04,7.02,7.6,NA,6.7,7.05,8.42,8.96,0,176,1.6,9.5,0.96,"D. Peralta"
"Randal Grichuk","OF","","STL","CIN","R",8,3600,7.67,1.01,0,NA,9.49,6.9,8.4,NA,7,7.25,7.93,6.7,0,-182,-1.3,8,1.02,"R. Grichuk"
"Timothy Anderson","SS","","CHW","MIN","R",2,3500,7.67,0.82,0,NA,9.16,7.5,6.9,NA,8.3,7.02,7.76,7.03,0,-128,-0.44,8,0.98,"T. Anderson"
"Nick Castellanos","3B","","DET","BOS","R",2,3400,7.66,0.8,0,NA,8.65,6.79,8.5,NA,7.7,6.73,7.13,8.11,0,102,0.12,7.5,0.99,"N. Castellanos"
"Dee Gordon","2B","","MIA","@NYM","L",1,3500,7.66,1.07,0,NA,9.36,7.57,7.5,NA,6.9,6.19,8.71,7.41,0,156,0.92,7,1.06,"D. Gordon"
"Elvis Andrus","SS","","TEX","OAK","R",9,3700,7.65,1.2,0,NA,9.64,6.55,7.4,NA,7.5,6.03,7.93,8.5,0,105,0.24,9.5,0.94,"E. Andrus"
"Curtis Granderson","OF","","NYM","MIA","L",4,3600,7.64,1.13,0,NA,9.64,7.28,8.2,NA,7.2,5.92,7.75,7.52,0,-166,-0.92,7,1.06,"C. Granderson"
"Addison Russell","2B","SS","CHC","@MIL","R",5,3900,7.63,0.83,0,NA,8.9,8.26,7.6,NA,7.9,6.85,7.42,6.46,0,-175,-1.2,8,0.96,"A. Russell"
