"Player","Pos","Pos2","Team","Opp","Hand","Order","Salary","Projection","SE","DvP","DvP2","DFC","FanGraphs","FantasyPros","numberFire","RotoGrinders","Rotowire","DvPRank","Line","Spread","OU","ParkFactor","Label","Actual","Value","actValue"
"Asdrubal Cabrera","SS","","NYM","ATL","S",2,3500,7.51,1.38,0,NA,9.62,6.79,NA,8,6,7.13,0,-176,-1.06,7,1.06,"A. Cabrera",18,2.14571428571429,5.14285714285714
"Nick Castellanos","3B","","DET","@CHW","R",2,3600,7.5,0.47,0,NA,NA,7.33,7.1,8.3,7.51,7.26,0,-124,-0.32,7,NA,"N. Castellanos",NA,2.08333333333333,NA
"Scott Schebler","OF","","CIN","PHI","L",6,3600,7.49,1.13,0,NA,9.07,7.3,7.6,6.5,6.05,8.4,0,-115,-0.199999999999999,8.5,0.98,"S. Schebler",7,2.08055555555556,1.94444444444444
"Jay Bruce","OF","","NYM","ATL","L",6,3400,7.47,0.77,0,NA,8.64,6.71,NA,7.8,7.04,7.15,0,-176,-1.06,7,1.06,"J. Bruce",10,2.19705882352941,2.94117647058824
"Adam Frazier","2B","OF","PIT","@BOS","L",1,3300,7.45,1.32,0,NA,6.78,8.7,NA,8.9,5.79,7.1,0,141,0.879999999999999,8.5,0.95,"A. Frazier",7,2.25757575757576,2.12121212121212
"Howie Kendrick","2B","OF","PHI","@CIN","R",2,3600,7.44,0.74,0,NA,7.36,8.18,7,8.2,6.26,7.62,0,105,0.199999999999999,8.5,0.98,"H. Kendrick",11,2.06666666666667,3.05555555555556
"Troy Tulowitzki","SS","","TOR","@BAL","R",5,4400,7.44,0.87,0,NA,8.13,7.15,8.5,7.4,6,7.47,0,123,0.559999999999999,8.5,0.97,"T. Tulowitzki",0,1.69090909090909,0
"Keon Broxton","OF","","MIL","COL","R",6,3900,7.43,1.43,0,NA,9.51,6.69,NA,7,5.82,8.15,0,115,0.379999999999999,8,0.96,"K. Broxton",7,1.90512820512821,1.79487179487179
"Kyle Seager","3B","","SEA","@HOU","L",5,4000,7.43,1.33,0,NA,8.93,6.7,6.8,8.9,5.56,7.67,0,134,0.76,8.5,1,"K. Seager",4,1.8575,1
"Michael Brantley","OF","","CLE","@TEX","L",3,4700,7.41,1.08,0,NA,6.85,8.05,8.5,6.6,5.95,8.49,0,-115,-0.18,7.5,0.94,"M. Brantley",5,1.57659574468085,1.06382978723404
"Yasmani Grandal","C","","LAD","SDP","S",7,3400,7.35,1.01,0,NA,9.07,6.76,6.3,7.8,6.68,7.5,0,-344,-2.34,6.5,1.04,"Y. Grandal",30,2.16176470588235,8.82352941176471
"Danny Valencia","3B","OF","SEA","@HOU","R",6,3300,7.35,1.51,0,NA,6.1,6.73,9.8,7.2,5.85,8.44,0,134,0.76,8.5,1,"D. Valencia",2,2.22727272727273,0.606060606060606
"Andrew Toles","OF","","LAD","SDP","L",1,2900,7.34,1.2,0,NA,7.71,8.4,8.1,7,5.09,7.75,0,-344,-2.34,6.5,1.04,"A. Toles",8,2.53103448275862,2.75862068965517
"Tyler Naquin","OF","","CLE","@TEX","L",7,3900,7.34,1.51,0,NA,NA,6.86,8.1,9,5.01,7.74,0,-115,-0.18,7.5,NA,"T. Naquin",5,1.88205128205128,1.28205128205128
"Ryan Zimmerman","1B","3B","WAS","MIA","R",5,3400,7.33,0.82,0,NA,7.48,8.06,NA,8.1,6.22,6.8,0,-197,-1.46,8,1,"R. Zimmerman",6,2.15588235294118,1.76470588235294
"Byron Buxton","OF","","MIN","KCR","R",3,3400,7.3,0.62,0,NA,8.03,7.48,7,7.1,6.34,7.85,0,-105,-0.0999999999999996,8,0.99,"B. Buxton",0,2.14705882352941,0
"Gerardo Parra","OF","","COL","@MIL","L",6,3800,7.29,0.87,0,NA,7.25,7.36,NA,8.5,6.04,7.29,0,-125,-0.380000000000001,8,0.96,"G. Parra",8,1.91842105263158,2.10526315789474
"Carlos Gomez","OF","","TEX","CLE","R",2,4000,7.27,1.57,0,NA,9.39,7.41,5.4,7.4,5.56,8.44,0,105,0.18,7.5,0.94,"C. Gomez",16,1.8175,4
"Brandon Moss","1B","OF","KCR","@MIN","L",6,3500,7.24,0.94,0,NA,8.65,6.76,7,8,6.02,7.02,0,-105,0.0999999999999996,8,0.99,"B. Moss",0,2.06857142857143,0
"Paulo Orlando","OF","","KCR","@MIN","R",7,3200,7.22,1.1,0,NA,8.51,6.63,7.8,8,5.48,6.89,0,-105,0.0999999999999996,8,0.99,"P. Orlando",0,2.25625,0
"Mike Moustakas","3B","","KCR","@MIN","L",2,3200,7.21,0.48,0,NA,7.2,7.45,7.2,7.7,6.31,7.43,0,-105,0.0999999999999996,8,0.99,"M. Moustakas",14,2.253125,4.375
"Timothy Anderson","SS","","CHW","DET","R",2,3600,7.19,0.97,0,NA,8.52,7.07,7.3,7.6,5.54,7.1,0,114,0.32,7,0.98,"T. Anderson",NA,1.99722222222222,NA
"Mitch Moreland","1B","","BOS","PIT","L",5,3300,7.18,0.7,0,NA,8.13,7.49,NA,7.3,6.44,6.54,0,-151,-0.880000000000001,8.5,0.95,"M. Moreland",0,2.17575757575758,0
"Eugenio Suarez","3B","SS","CIN","PHI","R",5,3500,7.11,0.78,0,NA,8.16,7.57,7.1,6.8,5.84,7.16,0,-115,-0.199999999999999,8.5,0.98,"E. Suarez",2,2.03142857142857,0.571428571428571
"Josh Reddick","OF","","HOU","SEA","L",6,3500,7.11,0.88,0,NA,7.78,7.54,7.7,7.1,5.42,7.09,0,-144,-0.76,8.5,1,"J. Reddick",3,2.03142857142857,0.857142857142857
"Jonathan Lucroy","C","","TEX","CLE","R",6,4100,7.09,1.04,0,NA,8.15,6.47,7.4,7.2,5.36,7.97,0,105,0.18,7.5,0.94,"J. Lucroy",0,1.72926829268293,0
"Yunel Escobar","3B","SS","LAA","@OAK","R",1,3000,7.07,0.63,0,NA,7.99,7.48,6.6,7.3,6.29,6.76,0,-111,-0.119999999999999,8,1.03,"Y. Escobar",6,2.35666666666667,2
"Russell Martin","C","","TOR","@BAL","R",6,3900,7.05,1,0,NA,8.65,6.53,7.1,7,5.63,7.38,0,123,0.559999999999999,8.5,0.97,"R. Martin",4,1.80769230769231,1.02564102564103
"Robbie Grossman","OF","","MIN","KCR","S",2,3500,7.04,0.99,0,NA,8.08,6.29,7.6,7.8,5.51,6.95,0,-105,-0.0999999999999996,8,0.99,"R. Grossman",8,2.01142857142857,2.28571428571429
"Eric Thames","1B","OF","MIL","COL","L",2,3800,7.03,2.01,0,NA,4.57,7.95,NA,6.4,6.3,9.91,0,115,0.379999999999999,8,0.96,"E. Thames",13,1.85,3.42105263157895
"Steve Pearce","1B","2B","TOR","@BAL","R",7,3800,7.03,1.16,0,NA,7.9,6.97,7.3,7.6,4.74,7.64,0,123,0.559999999999999,8.5,0.97,"S. Pearce",11,1.85,2.89473684210526
"Shin-Soo Choo","OF","","TEX","CLE","L",3,4200,7.02,0.91,0,NA,NA,7.11,7,6.5,6.04,8.47,0,105,0.18,7.5,NA,"S. Choo",3,1.67142857142857,0.714285714285714
"Mike Napoli","1B","","TEX","CLE","R",4,3900,7,0.99,0,NA,8.22,6.74,6.4,7.7,5.5,7.45,0,105,0.18,7.5,0.94,"M. Napoli",4,1.79487179487179,1.02564102564103
"Ender Inciarte","OF","","ATL","@NYM","L",1,3400,6.98,1.29,0,NA,8.88,6.77,NA,7.2,5.28,6.75,0,166,1.06,7,1.06,"E. Inciarte",0,2.05294117647059,0
"Yasiel Puig","OF","","LAD","SDP","R",8,4000,6.94,0.64,0,NA,8.03,7.07,6.2,6.7,6.48,7.13,0,-344,-2.34,6.5,1.04,"Y. Puig",11,1.735,2.75
"Matt Kemp","OF","","ATL","@NYM","R",4,3500,6.94,1.25,0,NA,8.78,6.73,NA,7.3,5.34,6.56,0,166,1.06,7,1.06,"M. Kemp",5,1.98285714285714,1.42857142857143
"Justin Bour","1B","","MIA","@WAS","L",5,3200,6.92,1.19,0,NA,8.44,6.78,NA,7.1,5.11,7.18,0,183,1.46,8,1,"J. Bour",0,2.1625,0
"Brian McCann","C","","HOU","SEA","L",8,3300,6.91,0.81,0,NA,7.59,6.47,6.5,7.8,5.72,7.37,0,-144,-0.76,8.5,1,"B. McCann",0,2.09393939393939,0
